Osage Exploration and Development, Inc.;1768;39;;23,53057524;;56
Apple Inc.;662;10;;;;
Bank of America Corporation;581;27;;;;
Amazon.com, Inc.;1958;16;;;;
AT&T Inc.;1028;9;;;;
Alphabet Inc.;328;13;;;;
Altria Group, Inc.;308;18;;;;
Delta Air Lines, Inc.;115;21;;;;
Alcoa Corporation;1816;17;;;;
American Express Company;144;24;;;;
E. I. du Pont de Nemours and Company;1058;36;;;;
Alibaba Group Holding Limited;1013;29;;;;
Abbott Laboratories;1538;19;;;;
Under Armour, Inc.;1383;18;;;;
Applied Materials, Inc.;1522;23;;;;
Amgen Inc.;539;10;;;;
American Airlines Group Inc.;1597;28;;;;
American International Group, Inc.;1799;34;;;;
The Allstate Corporation;1056;24;;;;
Adobe Systems Incorporated;52;26;;;;
Alphabet Inc.;328;13;;;;
Accenture plc;1193;13;;;;
AbbVie Inc.;206;11;;;;
ArcelorMittal;1249;13;;;;
Eli Lilly and Company;1926;21;;;;
Allergan plc;1402;12;;;;
Apache Corporation;1074;18;;;;
Automatic Data Processing, Inc.;5;31;;;;
Anadarko Petroleum Corporation;462;30;;;;
Akamai Technologies, Inc.;749;25;;;;
Annaly Capital Management, Inc.;31;31;;;;
Barrick Gold Corporation;991;24;;;;
Activision Blizzard, Inc.;462;25;;;;
Autodesk, Inc.;813;14;;;;
Archer-Daniels-Midland Company;1717;30;;;;
Baumart Holdings Limited;1976;24;;;;
Walgreens Boots Alliance, Inc.;1700;30;;;;
Arena Pharmaceuticals, Inc.;1456;27;;;;
Southwest Airlines Co.;483;22;;;;
ACADIA Pharmaceuticals Inc.;1118;27;;;;
Palo Alto Networks, Inc.;378;24;;;;
Advanced Micro Devices, Inc.;1675;28;;;;
Aetna Inc.;132;10;;;;
American Electric Power Company, Inc.;1023;37;;;;
Alexion Pharmaceuticals, Inc.;801;29;;;;
Calamos Asset Management Inc.;1277;29;;;;
Broadcom Limited;1393;16;;;;
Electronic Arts Inc.;1229;20;;;;
Deutsche Bank Aktiengesellschaft;1786;32;;;;
Reynolds American Inc.;1216;22;;;;
Agnico Eagle Mines Limited;1524;26;;;;
Air Products and Chemicals, Inc.;1000;32;;;;
Ambarella, Inc.;881;15;;;;
Novartis AG;1133;11;;;;
