Date,Open,High,Low,Close,Adj Close,Volume
2020-03-16,2.800000,3.580000,2.510000,2.530000,2.530000,529000
2020-03-17,2.600000,2.880000,2.310000,2.650000,2.650000,396700
2020-03-18,2.510000,2.575000,2.290000,2.360000,2.360000,220100
2020-03-19,2.340000,2.840000,2.340000,2.790000,2.790000,299500
2020-03-20,2.830000,3.000000,2.590000,2.910000,2.910000,267200
2020-03-23,3.000000,3.160000,2.804000,3.120000,3.120000,253400
2020-03-24,3.300000,3.380000,3.180000,3.250000,3.250000,169200
2020-03-25,3.250000,3.620000,3.180000,3.410000,3.410000,425200
2020-03-26,3.450000,3.760000,3.370000,3.610000,3.610000,139800
2020-03-27,3.400000,3.530000,3.270000,3.330000,3.330000,177200
2020-03-30,3.340000,3.390000,3.160000,3.280000,3.280000,134500
2020-03-31,3.250000,3.400000,3.060000,3.280000,3.280000,176400
2020-04-01,3.120000,3.210000,3.020000,3.050000,3.050000,170600
2020-04-02,3.000000,3.320000,2.860000,3.240000,3.240000,235400
2020-04-03,3.210000,3.290000,2.910000,3.000000,3.000000,112900
2020-04-06,3.100000,3.420000,3.100000,3.340000,3.340000,239900
2020-04-07,3.460000,3.545000,3.180000,3.200000,3.200000,176200
2020-04-08,3.250000,3.430000,3.220000,3.370000,3.370000,68800
2020-04-09,3.460000,3.707000,3.410000,3.625000,3.625000,121700
2020-04-13,3.700000,3.820000,3.570000,3.700000,3.700000,159700
2020-04-14,3.830000,4.010000,3.800000,3.850000,3.850000,146000
2020-04-15,3.740000,4.220000,3.630000,4.100000,4.100000,215300
2020-04-16,4.200000,4.280000,3.880000,3.920000,3.920000,173200
2020-04-17,4.040000,4.215000,3.980000,4.050000,4.050000,97700
2020-04-20,4.110000,4.150000,3.920000,4.000000,4.000000,136600
2020-04-21,3.940000,4.067000,3.850000,3.910000,3.910000,99800
2020-04-22,4.030000,4.040000,3.920000,3.950000,3.950000,119000
2020-04-23,4.030000,4.170000,3.850000,3.870000,3.870000,179900
2020-04-24,3.900000,3.970000,3.850000,3.890000,3.890000,101700
2020-04-27,3.980000,4.140000,3.920000,3.970000,3.970000,200200
2020-04-28,4.090000,4.090000,3.830000,3.910000,3.910000,130400
2020-04-29,4.000000,4.200000,3.830000,3.860000,3.860000,261400
2020-04-30,3.940000,3.940000,3.560000,3.730000,3.730000,286700
2020-05-01,3.660000,3.990000,3.560000,3.950000,3.950000,278900
2020-05-04,3.930000,4.110000,3.870000,3.940000,3.940000,152800
2020-05-05,4.020000,4.100000,3.978000,4.020000,4.020000,137600
2020-05-06,4.020000,4.170000,3.940000,4.030000,4.030000,82400
2020-05-07,4.030000,4.250000,3.960000,4.230000,4.230000,226900
2020-05-08,4.260000,4.340000,3.925000,4.080000,4.080000,242300
2020-05-11,4.050000,4.720000,4.050000,4.660000,4.660000,507700
2020-05-12,4.960000,4.960000,4.470000,4.540000,4.540000,312800
2020-05-13,4.850000,4.850000,4.070000,4.490000,4.490000,405000
2020-05-14,4.250000,4.500000,4.140000,4.270000,4.270000,257300
2020-05-15,4.290000,4.340000,4.060000,4.100000,4.100000,265000
2020-05-18,4.200000,4.320000,4.130000,4.180000,4.180000,271800
2020-05-19,4.230000,4.290000,4.100000,4.200000,4.200000,195300
2020-05-20,4.380000,4.380000,4.270000,4.350000,4.350000,296800
2020-05-21,4.400000,4.500000,4.210000,4.480000,4.480000,181400
2020-05-22,4.470000,4.600000,4.420000,4.600000,4.600000,217700
2020-05-26,4.710000,5.090000,4.710000,5.020000,5.020000,630200
2020-05-27,5.350000,5.350000,4.820000,5.030000,5.030000,461600
2020-05-28,5.130000,5.220000,4.750000,4.830000,4.830000,355000
2020-05-29,4.810000,4.850000,4.600000,4.800000,4.800000,200500
2020-06-01,4.820000,4.948000,4.720000,4.780000,4.780000,278500
2020-06-02,4.780000,5.100000,4.780000,4.980000,4.980000,253500
2020-06-03,5.120000,5.144000,4.810000,4.900000,4.900000,267200
2020-06-04,4.930000,5.100000,4.920000,5.100000,5.100000,307500
2020-06-05,5.080000,5.440000,5.040000,5.220000,5.220000,445900
2020-06-08,5.300000,5.330000,5.170000,5.220000,5.220000,1196700
2020-06-09,5.240000,5.483000,5.150000,5.230000,5.230000,497100
2020-06-10,5.280000,5.760000,5.210000,5.610000,5.610000,395100
2020-06-11,5.400000,5.690000,4.835000,4.850000,4.850000,365600
2020-06-12,5.010000,5.341000,4.800000,5.020000,5.020000,363700
2020-06-15,5.010000,5.250000,4.890000,5.140000,5.140000,287200
2020-06-16,5.500000,5.500000,5.150000,5.460000,5.460000,326600
2020-06-17,5.450000,5.740000,5.280000,5.430000,5.430000,350600
2020-06-18,5.390000,5.790000,5.390000,5.630000,5.630000,234800
2020-06-19,5.550000,6.240000,5.540000,6.160000,6.160000,546600
2020-06-22,6.310000,6.390000,5.810000,6.360000,6.360000,441800
2020-06-23,6.890000,6.890000,6.330000,6.750000,6.750000,737700
2020-06-24,6.660000,6.990000,6.380000,6.810000,6.810000,450600
2020-06-25,7.010000,7.400000,6.769000,6.900000,6.900000,698300
2020-06-26,6.810000,6.820000,6.020000,6.190000,6.190000,3514100
2020-06-29,6.150000,6.450000,5.650000,5.920000,5.920000,585500
2020-06-30,5.880000,5.900000,5.430000,5.540000,5.540000,455800
2020-07-01,5.600000,6.220000,5.370000,5.830000,5.830000,1125800
2020-07-02,6.000000,6.506000,5.854000,6.430000,6.430000,424700
2020-07-06,6.480000,6.508000,5.750000,5.910000,5.910000,482200
2020-07-07,5.920000,5.990000,5.605000,5.630000,5.630000,230700
2020-07-08,5.700000,5.990000,5.540000,5.980000,5.980000,316100
2020-07-09,5.990000,6.188000,5.760000,6.110000,6.110000,574100
2020-07-10,6.200000,6.300000,5.762000,5.840000,5.840000,387300
2020-07-13,5.930000,6.100000,5.600000,5.630000,5.630000,273200
2020-07-14,5.610000,5.710000,5.330000,5.630000,5.630000,231000
2020-07-15,5.700000,5.830000,5.620000,5.800000,5.800000,217100
2020-07-16,5.720000,5.735000,5.430000,5.550000,5.550000,273300
2020-07-17,5.550000,6.030000,5.550000,5.960000,5.960000,336800
2020-07-20,5.950000,6.090000,5.840000,6.010000,6.010000,212900
2020-07-21,6.180000,6.300000,5.830000,5.850000,5.850000,199700
2020-07-22,5.810000,6.060000,5.720000,6.050000,6.050000,300200
2020-07-23,6.080000,6.310000,5.600000,5.790000,5.790000,569200
2020-07-24,5.760000,6.020000,5.627000,5.820000,5.820000,249700
2020-07-27,5.840000,5.990000,5.545000,5.760000,5.760000,242900
2020-07-28,5.700000,5.900000,5.570000,5.600000,5.600000,186600
2020-07-29,5.610000,5.700000,5.170000,5.190000,5.190000,326100
2020-07-30,5.240000,5.360000,5.150000,5.320000,5.320000,172200
2020-07-31,5.310000,5.450000,5.070000,5.280000,5.280000,223000
2020-08-03,5.310000,5.480000,5.240000,5.350000,5.350000,186900
2020-08-04,5.340000,5.430000,5.260000,5.340000,5.340000,127600
2020-08-05,5.420000,5.560000,5.370000,5.500000,5.500000,180400
2020-08-06,5.540000,5.540000,5.250000,5.350000,5.350000,183400
2020-08-07,5.280000,5.590000,5.280000,5.520000,5.520000,301200
2020-08-10,5.570000,5.940000,5.495000,5.900000,5.900000,190600
2020-08-11,5.910000,5.930000,5.630000,5.720000,5.720000,197000
